raw_message_id,message_type,parse_status,resolved_trader_id,source_chat_id,telegram_message_id,reply_to_message_id,message_ts,raw_text,warning_text,symbol,direction,entry_main,average_entry,stop_loss_price,take_profit_prices,entry_plan_type,entry_structure,has_averaging_plan,intents,actions,target_refs,reported_results,entities,validation_warnings
942,UNCLASSIFIED,PARSED,trader_a,3171748254,1684,,2026-01-16T05:05:45+00:00,"[trader#A]

#среднесрок #MOVRUSDT 🐻 Шорт (вход с текущих)

""sl"": 2.676,

полная информация чуть позже",,MOVRUSDT,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [""MOVRUSDT""], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
914,UNCLASSIFIED,PARSED,trader_a,3171748254,1723,,2026-01-17T08:38:16+00:00,"[trader#A]

#среднесрок #APEUSDT 🐂 Лонг (вход с текущих)
""sl"": 0.20553

полная информация через несколько минут",,APEUSDT,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [""APEUSDT""], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
913,UNCLASSIFIED,PARSED,trader_a,3171748254,1724,,2026-01-17T08:42:15+00:00,"[trader#A]


#среднесрок #ILVUSDT 🐂 Лонг (вход с текущих)

""sl"": 6.258


полная информация через несколько минут",,ILVUSDT,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [""ILVUSDT""], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
545,UNCLASSIFIED,PARSED,trader_a,3171748254,2322,,2026-02-11T16:00:27+00:00,"trader #A

Начинаем марафон, ожидайте сделки",,,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
533,UNCLASSIFIED,PARSED,trader_a,3171748254,2334,,2026-02-11T16:58:00+00:00,"trader #A

пока ждем",,,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
523,UNCLASSIFIED,PARSED,trader_a,3171748254,2345,,2026-02-11T19:14:10+00:00,"Trader #A

финальная сделка марафона
все сделки остаются в работе, утром посмотрим какой будет результат

всем спасибо и хорошего вечера",,,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
404,UNCLASSIFIED,PARSED,trader_a,3171748254,2512,,2026-02-18T15:57:47+00:00,"Trader #A

Всем, привет. Через 10 минут начинаем",,,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
396,UNCLASSIFIED,PARSED,trader_a,3171748254,2520,,2026-02-18T16:48:19+00:00,"Trader #A

После вчерашнего анонса марафона, всю личку оборвал какой-то Павел Д.
И главное сообщение одного формата - что будет с TON?
Как нашел мою личку - не понимаю, скорее всего админ слил...

Ну что же, просил, держи:",,TON,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
389,UNCLASSIFIED,PARSED,trader_a,3171748254,2527,,2026-02-18T17:36:48+00:00,"Trader #A

Пока все, ждем лимиток и тейков
Всего 7 сигналов в работе
из них 3 уже торгуются, 4 сигнала ждут взятия лимиток",,,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
358,UNCLASSIFIED,PARSED,trader_a,3171748254,2570,,2026-02-20T06:20:13+00:00,"Trader #A
Сегодня аккуратно поторгуем интрадей, не в рамках марафона, а просто как обычные сделки, требования как и к среднесроку:
- вход на 1%, если не укажу иное
- фиксация на тейках 50/40/10",,,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
286,UNCLASSIFIED,PARSED_WITH_WARNINGS,trader_a,3171748254,2675,,2026-02-24T04:15:59+00:00,"Trader #A 

пока новых сделок не будет. доведем до тейков те, что остались

Открыты: 
ETH
ASTER
BTC
PAXG (стоп в бу стоит)
JST (был 1 тейк, стоп в бу)
BONK (был 1 тейк, стоп в бу)
BNB",trader_a_ambiguous_update_without_target,ETH,,,,,[],,,False,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP"", ""U_TP_HIT""]","[""ACT_MOVE_STOP_LOSS_TO_BE"", ""ACT_MOVE_STOP_LOSS"", ""ACT_MARK_TP_HIT""]",[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": ""TP1"", ""links"": [], ""new_stop_level"": ""ENTRY"", ""result_mode"": null, ""time_hint"": null}","[""trader_a_ambiguous_update_without_target""]"
262,UNCLASSIFIED,PARSED,trader_a,3171748254,2708,2681,2026-02-25T12:09:48+00:00,"Trader #A

Через 2 часа начинаем марафон",,,,,,,[],,,False,[],[],[2681],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
230,UNCLASSIFIED,PARSED_WITH_WARNINGS,trader_a,3171748254,2742,,2026-02-25T18:02:42+00:00,"[trader #A]

на этом пока все, ожидаем лимитки и тейки

Скорее всего лимитки будем переносить в ночь и уже завтра утром решу, что с ними делать, либо нас порадуют тейками😊",trader_a_ambiguous_update_without_target; normalized_intent_missing_required:U_CANCEL_PENDING_ORDERS:symbol; normalized_intent_missing_required:U_TP_HIT:symbol,,,,,,[],,,False,"[""U_CANCEL_PENDING_ORDERS"", ""U_TP_HIT""]","[""ACT_CANCEL_ALL_PENDING_ENTRIES"", ""ACT_MARK_TP_HIT""]",[],[],"{""cancel_scope"": ""ALL_ALL"", ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": ""TP"", ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}","[""trader_a_ambiguous_update_without_target"", ""normalized_intent_missing_required:U_CANCEL_PENDING_ORDERS:symbol"", ""normalized_intent_missing_required:U_TP_HIT:symbol""]"
226,UNCLASSIFIED,PARSED_WITH_WARNINGS,trader_a,3171748254,2746,,2026-02-25T19:09:13+00:00,"Trader #A

Сегодняшний марафон подошел к концу, что делаем:
1. Оставляем YGG в работе
2. Оставляем лимитку по SXP
3. Все остальные лимитки убираем

на сейчас заработали 1.32R

Всем спасибо",trader_a_ambiguous_update_without_target,YGG,,,,,[],,,False,"[""U_CANCEL_PENDING_ORDERS""]","[""ACT_CANCEL_ALL_PENDING_ENTRIES""]",[],[],"{""cancel_scope"": ""ALL_ALL"", ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}","[""trader_a_ambiguous_update_without_target""]"
104,UNCLASSIFIED,PARSED_WITH_WARNINGS,trader_a,3171748254,2922,,2026-03-04T09:30:15+00:00,"Trader #A 

WOO и ATP стопы в бу",trader_a_ambiguous_update_without_target,WOO,,,,,[],,,False,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP""]","[""ACT_MOVE_STOP_LOSS_TO_BE"", ""ACT_MOVE_STOP_LOSS""]",[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": ""ENTRY"", ""result_mode"": null, ""time_hint"": null}","[""trader_a_ambiguous_update_without_target""]"
103,UNCLASSIFIED,PARSED_WITH_WARNINGS,trader_a,3171748254,2923,,2026-03-04T09:31:01+00:00,"Trader #A 

PYTH тоже стоп в бу",trader_a_ambiguous_update_without_target,PYTH,,,,,[],,,False,"[""U_MOVE_STOP_TO_BE"", ""U_MOVE_STOP""]","[""ACT_MOVE_STOP_LOSS_TO_BE"", ""ACT_MOVE_STOP_LOSS""]",[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": ""ENTRY"", ""result_mode"": null, ""time_hint"": null}","[""trader_a_ambiguous_update_without_target""]"
59,UNCLASSIFIED,PARSED,trader_a,3171748254,2976,,2026-03-05T15:59:39+00:00,"Trader #A

Давайте начинать 

Фиксация 50/40/10
Вернемся к штатному формату фиксации",,,,,,,[],,,False,[],[],[],[],"{""cancel_scope"": null, ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}",[]
46,UNCLASSIFIED,PARSED_WITH_WARNINGS,trader_a,3171748254,2991,,2026-03-05T19:16:40+00:00,"Trader #A

Друзья, сегодня, видимо, рынок включил режим «лимитки? не слышал».🙂

Из 6 лимиток - 2 взяли. А также поймали 1 стоп
Чтобы не переносить лишний риск через ночь, рекомендую снять все лимитные ордера. 

Я у себя лимитки оставлю - для полной картины стратегии интрадей и статистики по переносам.

Если ночью что-то исполнится - обязательно сообщу и зафиксирую результат.🫡",trader_a_ambiguous_update_without_target; normalized_intent_missing_required:U_CANCEL_PENDING_ORDERS:symbol,,,,,,[],,,False,"[""U_CANCEL_PENDING_ORDERS""]","[""ACT_CANCEL_ALL_PENDING_ENTRIES""]",[],[],"{""cancel_scope"": ""ALL_ALL"", ""close_fraction"": null, ""close_scope"": null, ""entry_plan_entries"": [], ""entry_plan_type"": null, ""entry_structure"": null, ""fill_state"": null, ""has_averaging_plan"": false, ""hashtags"": [], ""hit_target"": null, ""links"": [], ""new_stop_level"": null, ""result_mode"": null, ""time_hint"": null}","[""trader_a_ambiguous_update_without_target"", ""normalized_intent_missing_required:U_CANCEL_PENDING_ORDERS:symbol""]"
