raw_message_id,parse_status,reply_to_message_id,raw_text,warning_text,warnings_summary,primary_intent,intents,action_types,actions_structured_summary,signal_id,target_refs_count,links_count,hashtags_count,validation_warning_count,diagnostics_summary,notes_summary
1550,PARSED,,"[trader#3] 📍SIGNAL ID: #2024📍
COIN: $BDXN/USDT (3-5x)
Direction: LONG📈
➖➖➖➖➖➖➖
Completed bottomed out and getting ready for a massive bullish rally 🚀

Entry: Below 0.027

Targets: 0.029 - 0.033 - 0.039 - 0.043 - 0.050 - 0.069 - 0.084 - 0.15 - 0.30 - 0.45 - 0.75

SL: 0.019

You can also buy on spot in exchanges like bybit, bitget, mexc and gate.
➖➖➖➖➖➖➖
This message cannot be forwarded or replicated",,,,,,,2024,1,0,0,0,,
1217,PARSED,,"Всем привет, это #админ ! 👋

Декабрь пролетел, год заканчивается - время подводить черту, собирать камни и смотреть правде в...калькулятор. 😉
Сразу предупреждаю: пассажей об итогах года в духе «мы смогли», «мы выросли», «мы осознали» здесь не будет.
Мы трейдеры, скучные люди - видим мир в числах и циферках. 
Так что надевайте очки, представляйте себя Нео и давайте надаем по щщам агенту Смиту разберёмся, что там наторговали трейдеры #1, #2, #3 и A, B, C. 😎
────────────────────────────
Часть 1. Зарубежные сигнальные каналы (TRADER#1 / #2 / #3)
🔥Важно🔥 (дисклеймер для всех)
Сигналы TRADER#1-#3 берутся со сторонних ресурсов и почти не сопровождаются авторами. 
Обычно там нет:
- объёма на сделку
- распределения по тейкам
- своевременных уведомлений о переводе в БУ
- иногда и адекватного риск-менеджмента (зато есть широкие плечи и красивые “+200%”🤪)

Поэтому результаты ниже посчитаны по нашей модели:
- риск фиксированный: 1% депозита на сделку
- фиксация по тейкам равными долями
- результат считаем в % к депозиту, а не “по плечу”

В другом режиме (агрессивный объём/плечо) цифры могут выглядеть красивее, но и риск потерь становится несопоставимо выше.

Итог по “цифровым” трейдерам на момент 30.12 00:00:
TRADER#1: +1.385% (10 сделок)
TRADER#2: +1.595% (22 сделки)
TRADER#3: +2.41% (20 сделок)
Суммарно TRADER#1-#3: +5.39% по модели 1% риск + равные тейки

Если у вас вышло больше - супер! Мы реально рады. 👍
Но важно понимать: эти сигналы дают идею и уровни, а вот самого главного не дают:
сколько денег выделить на сделку и как распределить фиксацию по тейкам.
Для новичков это всё равно что получить маршрут без указания скорости и тормозов.
Используйте с умом!

Ну и коротко по каждому:
TRADER#1
10 сделок: стабильный умеренный плюс, часть сделок с частичной фиксацией и переводом в БУ (а они не всегда это пишут😏).

TRADER#2
22 сделки: высокая активность, много сделок в работе, были серии стопов(мы в команде называем их ""хлопки"" или ""отрицательный профит""😂), но отдельные сильные выстрелы (например AXL +3.15%) компенсируют.

TRADER#3
20 сделок: самый высокий итоговый результат среди “цифровых”. 
При этом есть показательные минуса с завышенным RR и короткими стопами - типичная проблема сторонних сигналов без сопровождения.

Вывод простой: 
сетапы у TRADER#1-#3 часто годные, иногда даже очень.
Но когда сигнал заканчивается на слове “Entry” - дальше начинается народное творчество: 
кто-то фиксирует, кто-то не фиксирует, кто-то вообще забывает, что в позиции.🤦‍♂️
В 2026 будем решать, что делать с этими тремя, потому что по уровню внимания и сопровождения они заметно проигрывают нашим трейдерам.
А сопровождение - это не “сервис”, это часть прибыли. 😌
Переходим к позитивной части и это...",,,,,,,,0,0,0,0,,
1212,PARSED,,[trader#3] $ICP 🔥,,,,,,,,0,0,0,0,,
1201,PARSED,1329,"Что то как стоп так он молчит, а тут смайликов аж на книгу хватит

Одного меня бесят эти зарубежные сигнальщики?",,,,,,,1329,1,0,0,0,,
1164,PARSED,,"[trader#3] 📍SIGNAL ID: #2044📍
COIN: $XLM/USDT (2-5x)  
Direction: LONG  
➖➖➖➖➖➖➖  
Orders set at the 0.228 - 0.23 key level, expecting a short term retest before heading up to our targets. 

Invalidation below 0.22
➖➖➖➖➖➖➖",,,,,,,2044,1,0,0,0,,
1155,PARSED,,"Друзья, #админ на связи 👋

Итоги голосования подведены.
Победил [trader#3] - ему пока с нами по пути. 👌
А остальных двух мы…высадили на трассе где-то между Ликвидашево и Многоплечинском (не дай вам Бог, посетить эти мрачные местечки)👹
 
Да! Мне тут уже начали писать в личку вопросы в духе:
«А почему вы так не любите западных трейдеров?»
Чтобы окончательно закрыть тему:
нам вообще всё-равно, где находится трейдер - в США, Европе или на Кирибати! 🤷‍♂️
Мы смотрим только на две вещи:
1) эффективность сигналов
2) удобство работы для подписчиков

Поэтому если трейдер работает из Европы и любит другого трейдера - это его личное дело. 😂
Мы оцениваем PnL и сопровождение. Всё остальное - просто наши шутки.
Если кого-то задело - сорри, не со зла, без негатива 😄

Ещё напоминание: вся работа команды и все сигналы - полностью бесплатны для вас.
И мы не только собираемся продолжать в том же духе, но и будем улучшать канал, вводить платные подписки, донаты. 😆
Сейчас, например, тестируем новую систему автоматического сбора статистики - чтоб ну совсем прозрачно. 🫥
Плюс, отдельно будем выпускать посты с обновлениями правил работы с сигналами каждого трейдера:
Куда, Как и в Какие фазы луны лучше торговать TON, напимер…
(поверьте, там у CEO фляга посвистывает - он и не такое внутрь проекта закладывал…😂)

Теперь ещё пару слов про зарубежных трейдеров!
Набор новых зарубежных источников мы пока ставим на стоп.
Потому что большинство каналов имеют те же болячки, что и trader#1 и #2:
А некоторые и вовсе… как trader#4 (мир его праху).
Но если найдём «бриллиант» - не переживайте, сразу сообщим и добавим.👌
А пока работаем с нашей командой.
И, кстати…",,,,,,,,0,0,0,0,,
1078,PARSED,,"Друзья, #админ на связи 👋

У нас небольшое, но важное обновление по каналу.
Мы наконец собрали единое руководство по сигналам - как читать, как входить, как фиксировать...чтобы ваш трейдинг не превращался в игру в Сапёра на Windows (лично я долгое время полагал, что эта игра про удачу, а цифры там только для красоты 💣😂)

📌 С этого момента в закрепе будет лежать:
- правила работы с сигнальным чатом
- регламенты по каждому трейдеру (A / B / C / D + trader#3)
- как считаем статистику
- и базовые ответы на вопросы в духе “кто виноват?”,  “что делать?”, ""если я улыбаюсь в зеркало - это взаимно?"" и.т.д.

Сделано это по одной простой причине:
сигнал - штука полезная, но если читать его в режиме ""ФРИСТАЙЛО"", то не стоит удивляться, что в итоге получилось ""РАКАМАКАФО"" 😂

⚙️ Руководство будет обновляться по мере необходимости:
— ежемесячная статистика
— уточнения по стратегиям и фиксациям
Короче: закреп — это теперь ваша база и необходимый минимум. 
Поэтому чтобы не писать потом админу: “я тут что-то нажал(а) и всё исчезло!” - загляните туда, там много полезного 👀
#админ",,,,,,,,0,0,0,0,,
1030,PARSED,,"[trader#3] 🔥GEM SIGNAL: $ZIG🔥
➖➖➖➖➖➖➖
Exchanges: ByBit, Bitget, MEXC, Gate

$ZIG has proven to be extremely resilient while the rest of the market dumped, and it has also been in heavy whale accumulation for he last months. 

This is an an easy play, buying a heavy bag here🚀

ENTRY: Below 0.06

TARGETS: 0.062 – 0.064 – 0.067 - 0.070 - 0.075 - 0.081 - 0.090 - 0.117 - 0.144 - 0.182 - OPEN

SL: 0.0528
➖➖➖➖➖➖➖",,,,,,,,0,0,0,0,,
906,PARSED,,[trader#3] WLDUSDT,,,,,,,,0,0,0,0,,
771,PARSED,,"----------------------------------

Наша команда закончилась. Теперь иностранный легионер!
Пока один, но сейчас присматриваемся к ещё одному бразильцу...⚽️😂

trader#3

Формат расчёта: наша консервативная модель (1% риск, равные тейки)

Статистика:
Всего закрытых сделок: 20
Плюсовые (полная отработка тейков): 4
Частичный тейк + БУ: 6
Стопы: 10
Открытые: 2 (не учитываются в январской статистике)

Результат:
Итог по январю: +0.41%

Коротко по сути:
Идей много, как у знатного темщика
Сопровождения мало, как у китайского сенсея, который говорит, что понять сигнал невозможно - нужно почувствовать! 😂
При консервативном подсчёте результат выглядит скромно
Но сами сетапы, по-прежнему, часто основаны на вменяемом ТА

С учётом сложного месяца...Не чудо, но и не мусор. Использовать с головой. И с чувством. 😉

----------------------------------

Общий вывод

Январь был месяцем дисциплины, защиты депозита и проверки систем на прочность.🛡
Где-то получилось,
Где-то нет,
Но, в целом, такие месяцы тоже нужны, чтобы понять: трейдинг - это не спринт, а марафонский забег.
Продолжаем...раз, два, три, четыре...(голосом Шуфутинского🧔🏻‍♂️)

#админ",,,,,,,,0,0,0,0,,
